# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Mar  5 09:26:24 2023
#
# COLUMN plntname:       Planet Name
# COLUMN centralwavelng: Central Wavelength [microns]
# COLUMN bandwidth:      Band Width [microns]
# COLUMN especlipdep:    Eclipse Depth [percentage]
# COLUMN especlipdeperr1: Eclipse Depth Upper Unc. [percentage]
# COLUMN especlipdeperr2: Eclipse Depth Lower Unc. [percentage]
# COLUMN especlipdeplim: Eclipse Depth Limit Flag
# COLUMN espbritemp:     Brightness temperature [K]
# COLUMN espbritemperr1: Brightness temperature Upper Unc. [K]
# COLUMN espbritemperr2: Brightness temperature Lower Unc. [K]
# COLUMN espbritemplim:  Brightness temperature Limit Flag
# COLUMN plntreflink:    Reference
# COLUMN facility:       Facility
# COLUMN instrument:     Instrument
#
plntname,centralwavelng,bandwidth,especlipdep,especlipdeperr1,especlipdeperr2,especlipdeplim,espbritemp,espbritemperr1,espbritemperr2,espbritemplim,plntreflink,facility,instrument
WASP-80 b,3.6000,,0.455000,0.100000,-0.100000,0,901,68,-72,0,<a refstr=TRIAUD_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015MNRAS.450.2279T/abstract target=ref>Triaud et al. 2015</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
WASP-80 b,4.5000,,0.944000,0.064000,-0.065000,0,888,58,-57,0,<a refstr=TRIAUD_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015MNRAS.450.2279T/abstract target=ref>Triaud et al. 2015</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
HAT-P-13 b,3.6000,,0.066200,0.011300,-0.011300,0,,,,,<a refstr=BUHLER_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...821...26B/abstract target=ref>Buhler et al. 2016</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
HAT-P-13 b,4.5000,,0.142600,0.013000,-0.013000,0,,,,,<a refstr=BUHLER_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...821...26B/abstract target=ref>Buhler et al. 2016</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
XO-3 b,4.5000,,0.158000,0.003600,-0.003600,0,,,,,<a refstr=WONG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...794..134W/abstract target=ref>Wong et al. 2014</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
WASP-12 b,1.1250,0.0500,0.119000,0.017000,-0.017000,0,,,,,<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-12 b,1.1750,0.0500,0.128000,0.012000,-0.012000,0,,,,,<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-12 b,1.2250,0.0500,0.101000,0.012000,-0.012000,0,,,,,<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-12 b,1.2750,0.0500,0.142000,0.011000,-0.011000,0,,,,,<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-12 b,1.3250,0.0500,0.154000,0.012000,-0.012000,0,,,,,<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
